compound,SMILES
312696303,O.[O-]P(=O)([O-])[O-].O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.[Na+].[Na+].[Na+]
312752855,COC1=C(C=C2CN(CCC2=C1)C(=O)[C@@H]3CCCN(C3)CCNC(=O)C4=CC=C(C=C4)F)OC
312752866,COC1=C(C=C2CN(CCC2=C1)C(=O)[C@@H]3CCCN(C3)CCNC(=O)C4=CC=C(C=C4)F)OC.OP(=O)(O)O
312753063,CCC1=C(C=C2CC(CC2=C1)NC[C@@H](C3=C4C=CC(=O)NC4=C(C=C3)O)O)CC
312774199,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)[C@@H]([C@@H]4CCNC4)O)C(=O)O)[C@@H](C)O.O.O.O.Cl
312774202,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)[C@@H]([C@@H]4CCNC4)O)C(=O)O)[C@@H](C)O
312924531,C1=CC=C2C(=C1)C=CC(=C2O)N=NC3=NC4=C(C=CC5=C4N=CC=C5)C=C3
312959492,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)[C@@H]([C@@H]4CCNC4)O)C(=O)O)[C@@H](C)O.O.Cl
312968982,CC(C)C1=CC(=C(C=C1)OC)CN[C@@H]2[C@@H](N3CCC2CC3)C(C4=CC=CC=C4)C5=CC=CC=C5.O.O.Cl.Cl
313047211,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(C(=O)OC(=O)C4)C
313222796,C(CN(CC(=O)[O-])CC(=O)[O-])N(CCO)CC(=O)[O-].O.[Na+].[Na+].[Na+]
313222854,C1=CC=C(C=C1)OCC(=O)[O-].O.[Na+]
313348275,CNC(=O)C1=CN(N=C1)C2=NC3=C(C(=N2)N)N=CN3[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O
313368911,CN1CCN2[C@H]3CCN(C[C@H]3C4=C2C1=CC=C4)CCCC(=O)C5=CC=C(C=C5)F
313471759,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O.C(=C/C(=O)O)\C(=O)O.O
313489713,CN1CCC(CC1)N2CCN(CC2)C(=O)[C@@H](C3=CC=CC=C3)NC(=O)C4=CC5=C(C=C4)C=CN5
313640867,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F.CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F.O.O.O
313651331,CCC[C@@H](C)C[C@@H](CC(=O)O)CN
313682085,CC1=NC(=CS1)COC2=CC=C(C=C2)C[C@@H]([C@@H](CN(CC(C)C)S(=O)(=O)C3=CC4=C(C=C3)OCO4)O)NC(=O)O[C@H]5CO[C@@H]6[C@H]5CCO6
313972962,C1CN(CCN1CC2=CC3=C(N2)C=CC(=C3)C#N)C4=CC=CC=C4
314020445,CCC1=CC(=CC(=C1C2C(=O)N3CCOCCN3C2=O)CC)C
314041106,O.[O-][Te](=O)(=O)[O-].[K+].[K+]
314062801,CCO/N=C/C1=CC=C(C=C1)OCCC2CCN(CC2)C3=NN=C(C=C3)C
314065117,CC(=O)N[C@@H]([C@@H]([C@H](C1=CC=C(C=C1)O)O)O)C(=O)O
314084612,CCC1=CC(=CC(=C1Br)CC)C
314245653,C[C@@H]1/C=C(\[C@H](OC(=O)/C=C/CC/C=C/[C@@H]([C@H]1O)OC)[C@H](C)C(=O)CCCC2CC(=O)NC(=O)C2)/C
314266767,C[C@H](C[C@@H]([C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(=O)O)N)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O
314267577,CC(C)(C1=CC=C(C=C1)C2=NC(=NC=C2C#N)NC3=CC=C(C=C3)CCN4CCOCC4)N
314289639,C1C[C@H](C2=C(C1)C(=CC=C2)OCC(=O)O)N3CCC[C@@H]3C4=NC(=C(O4)C5=CC=CC=C5)C6=CC=CC=C6
314728853,CCC(=O)N1CCN(CC1)C(=O)C2=CC=CC=C2
314771761,C1COC[C@H]1OC2=C(C=C3C(=C2)N=CN=C3NC4=CC(=C(C=C4)F)Cl)N
314776926,COC1=CC=CC=C1N2CCN(CC2)CCCCNC(=O)C3=CC4=CC=CC=C4C=C3.Cl
315183212,C=CCC1=CC=CC(=C1O)/C=N/NC(=O)CN2CCN(CC2)CC3=CC=CC=C3
315208174,C1=CN=C(C=N1)CNC2=C(C(=NN2C3=C(C=C(C=C3Cl)C(F)(F)F)Cl)C#N)SCF
315209008,CC(C)([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OCC[18F])O
315224261,C1=CC=C2C(=C1)C=C(C=N2)OC3=C(C=C(C=C3Cl)NS(=O)(=O)C4=C(C=C(C=C4)Cl)Cl)Cl
315703527,CCOC1=CC=C(C=C1)NC2=NC(=CS2)C3=C(N=C4N3C=CC=C4)C
316173576,COC1=CC=C(C=C1)CCCN2C3=C(C=N2)C4=NC(=NN4C(=N3)N)C5=CC=CO5
316173598,[11CH3]OC1=CC=C(C=C1)CCCN2C3=C(C=N2)C4=NC(=NN4C(=N3)N)C5=CC=CO5
316189749,CCCCCN1C(=C(C2=CC=CC=C21)C(=O)C3=CC=C(C4=CC=CC=C43)OC)C
316355461,CC(C)(C)C1=CC(=C(C=C1)O)COCC2=CC(=CC(=C2O)CO)C(C)(C)C
316371832,CN(CCOC1=CC=C(C=C1)CC2C(=O)[N-]C(=O)S2)C3=CC=CC=N3.[Na+]
316371843,CN(CCOC1=CC=C(C=C1)CC2C(=O)[N-]C(=O)S2)C3=CC=CC=N3.[K+]
316382077,CCC[C@@H]1CC(=CC(=O)C1)C
316811684,C[C@@H]1[C@@H](OC(O1)C2=CC(=C(C=C2)O)OC)C
316819280,CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F.CS(=O)(=O)O
316821133,C[C@@H]1[C@H](OC(O1)C2=CC(=C(C=C2)O)OC)C
317318700,CC1=C(C=CC(=C1)SCC2=C(N=C(S2)C3=CC=C(C=C3)C(F)(F)F)C)OCC(=O)O
317318846,CC1=C(C=CC(=C1)SCC2=C(N=C(S2)C3=CC(=C(C=C3)C(F)(F)F)F)C)OCC(=O)O
317322488,COC(=O)[C@H](C1=CC=CC=C1Cl)N2CC[C@H](/C(=C\C(=O)O)/C2)S
317815831,CC1=C(C(=CS1)C(=O)OC)S(=O)(=O)NC(=O)N2C(=O)N(C(=N2)OC)C
317819684,C1C[C@H]2CN[C@@H](C[C@H]2C[C@H]1CCC3=NNN=N3)C(=O)O.O
317819786,CC(C)[C@@H]1CC[C@@]2([C@@H]3[C@H]1[C@H]2C(=C)CC3)C
317844330,C1C[C@H]2CN[C@@H](C[C@H]2C[C@H]1CN3CC(C[C@H]3C(=O)O)(F)F)C(=O)O
317846223,CC1=C2C(=CC=C1)N(C(=N2)NC3CCN(CC3)CCN)CC4=C(C=CC(=N4)C)O
318245806,C1CCC(CC1)[C@H](C(=O)N2CC[C@H]2C(=O)NCC3=CC=C(C=C3)C(=N)N)NCC(=O)O.O
318250112,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=CC(=O)NC4=O)O)O)O.[Na+].[Na+].[Na+].[Na+]
318290981,C1=C(SC(=N1)S(=O)(=O)CCC(=C(F)F)F)Cl
318465735,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCNC(=O)C3=CC=CC=C3C(=O)O
318471793,CC1=NC=C(N1CCO)[N+](=O)[O-].C[C@@]1(C2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[OH-].[OH-].[K+].[K+].[K+].[K+].[K+].[Bi+3]
318498769,C[C@@H]1/C=C/C(=O)NC/C=C/C(=C/[C@H](C[C@H](CC2=NC(=CO2)C(=O)N3CCC[C@@H]3C(=O)O[C@@H]1C(C)C)F)O)/C
318967587,CC1(C[C@@H]1C(=O)NC2=CC=C(C=C2)OC3=NC=C(C=C3)NC(=O)[C@H]4CC4(C)C)C
319425666,CCCCCC1=CC=C(C=C1)C2=CC3=CN(C(=O)N=C3O2)[C@H]4C[C@@H]([C@H](O4)CO)O
319428143,CCC(=O)N(C1CCCCCCC1)C2CCN(CC2)CCCOC3=CC=C(C=C3)F
319460850,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=N4
319460941,CC1=NN(C(=C1)C(=O)NC2=C(C=CC(=C2)NC3=CC4=C(C=C3)C(=NN4)/C=C/C5=CC=CC=N5)F)C
319463495,CC1=NN(C(=C1)C(=O)NC2=C(C=CC(=C2)NC3=CC4=C(C=C3)C(=NN4)/C=C/C5=CC=CC=N5)F)C.Cl
320345991,C1C[N+]2(CCC1[C@H](C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5.[Br-]
320369800,CCC(C)/C=C(\C)/C1=CC2=C(C(O1)OC)C(=C3C(=C2)C=C(C(=O)C3=O)OC)O
320369811,CCC(C)/C=C(\C)/C1=CC2=C(C(O1)OCC)C(=C3C(=C2)C=C(C(=O)C3=O)OC)O
320616168,CC1=C2C(=C(C(=C1C)OC(=O)/C=C\C(=O)OC3=C([C@H](OC3=O)[C@H](CO)O)O)C)CC[C@@](O2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C
320725471,C[C@H](CC[C@H](C(C)C)OS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@@H]4[C@@]3(CC[C@@H](C4)NCCCNCCCCN)C)O)C.C[C@@H](C(=O)O)O
320777706,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Br)Br
