,subst_name,synonym,casrn,N,Nh,role,delta_d,delta_p,delta_h,mol_vol,src_id,src_ref,boil_pt,flash_pt,chem21_safety,chem21_health,chem21_env,chem21_rank,prop_src_id
40,o-Dichlorobenzene,Special termite fluid,95-50-1,8,12,solvent,19.2,6.3,3.3,112.8,1,A1.234,,,,,,,
41,Diethylamine,"N,N-Diethylamine",109-89-7,5,16,solvent,14.9,2.3,6.1,103.2,1,A1.252,,,,,,,
42,Diethyl ether,Ether,60-29-7,5,15,solvent,14.5,2.9,5.1,104.8,1,A1.255,34,-45,10,3,7,4,2
43,Diethyl sulfide,Thioethyl ether,352-93-2,5,15,solvent,16.8,3.1,2,107.4,1,A1.260,,,,,,,
44,Diethylene glycol,Bis(2-hydroxyethyl) ether,111-46-6,7,17,solvent,16.6,12,20.7,94.9,1,A1.263,,,,,,,
45,Butyl carbitol acetate,Diethylene glycol butyl ether acetate,124-17-4,14,32,solvent,16,4.1,8.2,208.2,1,A1.264,,,,,,,
46,Butoxydiglycol,Diethylene glycol monobutyl ether,112-34-5,11,31,solvent,16,7,10.6,170.6,1,A1.267,,,,,,,
47,Carbitol,Diethylene glycol ethyl ether,111-90-0,9,23,solvent,16.1,9.2,12.2,130.9,1,A1.268,,,,,,,
48,Diethylene glycol monoethyl ether acetate,Ethoxydiglycol acetate,112-15-2,12,28,solvent,16.2,5.1,9.2,175.5,1,A1.269,,,,,,,
49,Diethylene glycol monomethyl ether,"Ethanol, 2-(2-methoxyethoxy)-",111-77-3,8,20,solvent,16.2,7.8,12.6,118,1,A1.270,,,,,,,
50,Dimethylacetamide,DMAc,127-19-5,6,15,solvent,16.8,11.5,10.2,92.5,1,A1.285,166,70,1,9,5,3,2
51,Diethylene glycol dimethyl ether,Diglyme,111-96-6,9,23,solvent,15.8,6.1,9.2,142,1,A1.292,,,,,,,
52,Deanol,Dimethylmonoethanolamine,108-01-0,6,17,solvent,16.1,9.2,15.3,101.1,1,A1.295,,,,,,,
53,Dimethylformamide,DMF,68-12-2,5,12,solvent,17.4,13.7,11.3,77,1,A1.297,153,58,3,9,5,3,2
54,"1,2-Benzenedicarboxylic acid, dimethyl ester",Phthalic acid dimethyl ester,131-11-3,14,24,plasticizer,18.6,10.8,4.9,163,1,A1.300,,,,,,,
